UNI8	267	288	451	24	0	63	35	3	23	41	38	37	1092	245	30	102	95	3	1	78	143	41	65	39	81	0	0	18	49	6	31	0	1	2	81	84	25	7	0	52	27	0	0	1	0	25	13	108	1	39	7	79	81	5	4	280	232	389	186	40	44	0	31	15	7	18	1	6	276	304	467	72	87	2	0	0	0	0	0	1	0	71	461	0	1	0	0	3	0	0
UNI2	456	164	206	370	19	436	160	128	398	43	266	216	767	824	192	688	800	56	9	70	23	269	535	169	492	55	1	881	280	11	214	189	143	39	264	252	346	120	103	15	164	5	33	92	32	205	251	390	9	461	18	167	353	4	8	474	215	586	295	328	233	24	0	69	425	413	478	450	50	160	361	319	455	140	5	199	2	13	69	259	14	205	166	3	237	22	348	32	714	54
UNI7	386	129	156	216	31	1214	505	258	294	465	103	47	724	179	52	410	274	61	2	247	844	240	69	240	100	23	0	29	57	24	43	0	31	27	90	171	91	281	34	70	101	61	13	29	62	134	77	268	7	48	18	83	75	17	112	220	200	277	291	67	53	2	15	56	100	187	275	724	94	47	303	60	87	32	7	51	2	227	67	179	16	91	147	17	48	35	17	10	1135	49
UNI292	12	4	3	8	1	23	5	3	10	0	2	1	17	13	3	9	7	0	2	3	0	11	0	0	5	0	0	1	4	0	1	0	3	0	1	0	4	0	0	0	9	0	1	0	0	0	2	2	0	1	1	0	5	1	0	3	0	2	0	0	0	0	0	0	3	3	11	0	2	2	2	1	3	1	0	0	1	0	0	3	0	4	4	0	0	0	0	0	1	5
UNI1246	6	4	2	0	5	1	0	0	0	8	1	0	0	0	1	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	19	7	10	0	0	0	0	0	1	0	0	0	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNI14	536	178	168	336	45	1789	428	281	391	698	141	51	1078	279	61	560	351	50	1	271	1150	292	120	314	168	28	0	48	101	26	49	0	39	24	119	240	125	458	45	63	147	70	21	30	39	234	97	331	2	82	32	84	103	36	155	362	274	427	474	88	65	4	20	40	155	283	489	1220	137	93	531	118	143	17	5	97	1	301	118	328	11	206	242	8	62	37	29	6	960	37
UNI72	26	52	136	2	44	0	0	0	1	0	15	51	7	0	34	6	0	7	0	8	3	3	2	48	7	1	5	0	0	7	2	0	0	1	1	0	5	0	1	1	0	0	0	0	2	0	0	0	0	10	23	59	23	1	8	123	197	160	0	42	1	3	28	2	2	1	18	1	0	0	0	6	1	0	0	0	1	0	2	0	1	28	26	0	0	0	0	0	2	11
UNI2431	5	6	19	0	0	1	9	0	5	1	4	0	0	0	5	7	5	8	0	0	0	5	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	2	1	0	9	0	0	0	0	1	0	6	7	0	2	2	0	0	0	0	0	0	0
UNI151	28	6	5	11	2	21	15	9	33	1	9	0	38	11	3	17	3	2	2	5	0	26	1	3	16	4	0	0	6	0	1	0	3	0	4	4	7	0	0	0	12	0	3	0	0	0	5	5	0	1	3	0	14	1	0	2	4	4	4	4	2	4	11	0	18	16	26	2	2	8	13	7	6	0	0	1	2	0	0	2	1	4	7	0	2	0	2	1	3	2
UNI612	11	69	20	0	0	19	0	0	3	10	2	0	1	0	4	15	2	0	0	3	0	2	0	5	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	0	0	6	3	10	7	2	9	0	0	1	1	0	0	1	0	0	1	8	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	8	2
