OTU ID	HE327A	HE327C	HE327D	HE327E	HE327F	HE327G	HE327J	HE327K	HE327L	HE327N
otu343	1	2	1	2	8	13	3	11	8	3
otu410	0	10	15	0	5	2	6	9	4	1
otu625	0	7	6	0	5	7	7	9	6	5
otu895	1	0	3	5	12	4	7	10	9	1
otu516	4	6	1	11	8	6	1	0	13	1
otu6282	17	0	0	0	9	7	0	18	0	0
otu93	2	4	2	0	8	7	5	7	14	2
otu1012	0	2	0	0	7	9	3	18	9	2
otu440	1	5	15	7	2	1	8	4	5	2
otu56	32	2	5	0	3	6	1	0	1	0
otu6455	0	5	11	28	0	0	1	3	2	0
otu6953	8	9	2	1	17	6	0	5	1	1
otu2049	1	4	1	0	13	0	25	1	1	2
otu6403	8	6	7	6	13	3	4	0	1	0
otu833	39	2	4	1	0	2	0	0	0	0
otu4989	12	10	12	3	3	3	4	0	0	0
otu192	3	7	0	4	9	3	6	2	10	2
otu179	44	1	0	0	0	0	0	0	0	0
otu223	5	5	11	1	4	6	3	2	7	1
otu5941	0	2	5	0	4	2	16	1	11	4
otu4945	7	8	2	4	10	5	4	2	2	0
otu6137	0	4	6	28	2	2	0	0	2	0
otu3840	4	7	2	18	10	1	1	0	0	0
otu518	3	16	1	0	7	1	5	3	4	3
otu6524	1	5	1	9	7	7	4	4	4	1
otu6225	0	6	2	11	9	8	2	1	3	0
otu64	1	3	1	0	4	7	2	7	12	5
otu8445	12	3	3	1	6	10	4	1	2	0
otu152	38	1	2	0	0	0	0	0	0	0
otu163	17	11	1	0	1	4	6	0	0	1
otu1858	0	2	1	0	12	7	4	7	7	1
otu5785	1	5	7	2	1	6	2	4	13	0
otu7975	1	5	10	3	1	1	5	2	10	3
otu119	0	1	1	1	11	7	3	8	6	2
otu429	2	7	0	0	19	5	5	1	1	0
otu4659	0	6	5	0	9	6	7	4	2	1
otu7360	2	8	5	0	7	8	3	1	5	1
otu497	1	1	3	1	9	2	5	7	7	3
otu644	1	4	3	8	8	2	5	5	3	0
otu6565	2	10	6	2	7	2	3	2	3	2
otu121	26	2	1	3	0	0	5	0	0	1
otu3947	1	10	5	1	7	4	2	3	4	1
otu289	31	1	3	0	0	2	0	0	0	0
otu5631	2	7	2	3	7	4	6	1	5	0
otu7442	0	4	6	3	3	7	1	2	11	0
otu127	1	6	5	13	3	2	0	4	2	0
otu1540	1	7	8	12	0	4	1	0	3	0
otu4403	0	11	7	11	2	0	1	3	1	0
otu6174	13	8	3	1	4	3	3	0	0	1
otu653	2	7	6	2	8	5	1	1	2	2
otu748	14	4	8	2	2	0	2	0	4	0
otu618	1	5	1	2	7	8	2	4	4	1
