OTU ID	HE327A	HE327C	HE327D	HE327E	HE327F	HE327G	HE327J	HE327K	HE327L	HE327N
otu1567	0	0	0	0	1	0	0	0	0	1
otu1570	0	0	0	0	0	2	0	0	0	0
otu1571	0	0	0	0	0	1	0	0	1	0
otu1579	0	0	0	0	1	0	0	1	0	0
otu1585	0	1	0	1	0	0	0	0	0	0
otu1591	0	2	0	0	0	0	0	0	0	0
otu1601	0	0	0	2	0	0	0	0	0	0
otu1604	0	0	0	0	0	0	0	0	2	0
otu1612	0	0	0	0	0	0	0	0	2	0
otu1618	0	2	0	0	0	0	0	0	0	0
otu1624	0	0	0	0	0	0	2	0	0	0
otu1639	2	0	0	0	0	0	0	0	0	0
otu1644	0	0	1	0	1	0	0	0	0	0
otu1646	2	0	0	0	0	0	0	0	0	0
otu1647	0	0	0	0	0	0	2	0	0	0
otu1652	0	0	0	0	2	0	0	0	0	0
otu1664	1	0	1	0	0	0	0	0	0	0
otu167	0	0	0	0	0	1	1	0	0	0
otu1672	0	0	0	0	1	0	1	0	0	0
otu1673	0	0	0	0	0	2	0	0	0	0
otu1674	0	0	2	0	0	0	0	0	0	0
otu1680	0	1	0	1	0	0	0	0	0	0
otu171	0	0	0	0	0	0	0	0	2	0
otu1713	0	0	0	0	0	2	0	0	0	0
otu1726	0	0	1	1	0	0	0	0	0	0
otu1729	0	0	1	1	0	0	0	0	0	0
otu1732	0	0	0	1	1	0	0	0	0	0
otu1736	0	0	1	0	0	0	1	0	0	0
otu1738	2	0	0	0	0	0	0	0	0	0
otu1741	0	2	0	0	0	0	0	0	0	0
otu1744	0	0	0	0	0	0	0	0	1	1
otu1746	0	0	0	0	0	0	0	0	2	0
otu1748	0	0	0	0	0	0	2	0	0	0
otu1749	0	0	0	0	2	0	0	0	0	0
otu175	0	1	0	0	1	0	0	0	0	0
otu1751	0	0	0	0	1	0	0	1	0	0
otu1757	0	1	0	0	0	0	0	0	1	0
otu1759	0	0	0	0	0	0	0	0	2	0
otu1761	2	0	0	0	0	0	0	0	0	0
otu1764	0	0	0	0	0	0	0	1	0	1
otu1767	0	1	0	1	0	0	0	0	0	0
otu1770	0	0	0	1	1	0	0	0	0	0
otu1772	0	0	0	0	0	1	0	0	1	0
otu1783	0	0	0	0	1	0	1	0	0	0
otu1791	0	0	0	0	1	0	0	1	0	0
otu1793	0	0	2	0	0	0	0	0	0	0
otu1797	0	0	0	0	0	0	0	0	2	0
otu1798	0	0	1	1	0	0	0	0	0	0
otu1799	0	0	0	0	2	0	0	0	0	0
otu1801	2	0	0	0	0	0	0	0	0	0
otu1808	2	0	0	0	0	0	0	0	0	0
otu1814	0	0	1	0	0	0	0	1	0	0
otu1819	0	0	0	0	0	0	0	2	0	0
otu1829	0	0	0	0	0	0	0	1	1	0
otu1834	0	0	1	0	0	0	0	1	0	0
otu1847	2	0	0	0	0	0	0	0	0	0
otu1848	2	0	0	0	0	0	0	0	0	0
otu1850	0	0	0	0	0	0	0	0	2	0
otu1859	0	0	0	0	0	0	2	0	0	0
otu1862	2	0	0	0	0	0	0	0	0	0
otu1866	2	0	0	0	0	0	0	0	0	0
otu1868	0	1	0	0	1	0	0	0	0	0
otu1870	0	0	0	0	0	0	1	1	0	0
otu1878	0	1	0	0	0	0	1	0	0	0
otu1882	0	2	0	0	0	0	0	0	0	0
otu1884	0	1	0	0	1	0	0	0	0	0
otu1888	0	2	0	0	0	0	0	0	0	0
otu1904	1	0	0	0	1	0	0	0	0	0
otu1907	0	0	0	2	0	0	0	0	0	0
otu1914	0	0	0	0	1	0	0	0	1	0
otu1915	0	0	0	0	2	0	0	0	0	0
otu1918	0	0	0	0	1	0	0	0	1	0
otu1926	0	0	0	0	2	0	0	0	0	0
otu1929	0	0	0	1	1	0	0	0	0	0
otu193	0	0	0	0	0	0	0	0	2	0
otu1930	0	0	0	1	1	0	0	0	0	0
otu1933	0	0	0	0	1	0	0	1	0	0
otu1947	0	0	0	0	0	0	2	0	0	0
otu1959	0	0	0	0	0	0	0	0	2	0
otu1961	1	1	0	0	0	0	0	0	0	0
otu1967	0	0	0	2	0	0	0	0	0	0
otu1968	0	0	0	0	0	2	0	0	0	0
otu1969	0	0	0	0	0	0	0	0	2	0
otu1990	1	0	1	0	0	0	0	0	0	0
otu1992	0	0	0	1	0	1	0	0	0	0
otu1993	2	0	0	0	0	0	0	0	0	0
otu1995	0	0	0	0	2	0	0	0	0	0
otu1997	0	0	0	0	0	0	0	0	2	0
otu2013	0	0	0	0	0	0	0	0	2	0
otu2020	2	0	0	0	0	0	0	0	0	0
otu2021	2	0	0	0	0	0	0	0	0	0
otu2026	0	0	0	0	0	0	1	0	1	0
otu2030	0	1	0	0	0	0	1	0	0	0
otu2034	0	0	0	0	1	0	1	0	0	0
otu2036	0	0	1	0	0	1	0	0	0	0
otu2040	0	2	0	0	0	0	0	0	0	0
otu2044	0	0	0	0	0	2	0	0	0	0
otu2045	0	0	0	0	0	1	0	0	1	0
otu2051	0	0	0	0	0	1	0	1	0	0
otu2061	0	0	0	0	2	0	0	0	0	0
otu2062	0	0	0	0	0	0	0	0	2	0
otu2074	0	0	0	0	2	0	0	0	0	0
otu2075	0	2	0	0	0	0	0	0	0	0
otu2077	0	1	1	0	0	0	0	0	0	0
otu2085	0	0	0	0	2	0	0	0	0	0
otu2087	0	0	0	1	0	0	0	0	1	0
otu2088	0	0	0	1	0	0	1	0	0	0
otu2096	1	0	0	1	0	0	0	0	0	0
otu2098	0	0	2	0	0	0	0	0	0	0
otu210	0	0	0	0	1	1	0	0	0	0
otu2100	0	0	0	1	0	0	0	0	1	0
otu2101	0	0	0	0	0	0	2	0	0	0
otu2104	0	1	0	0	1	0	0	0	0	0
otu2106	0	0	0	1	1	0	0	0	0	0
otu211	0	0	0	0	0	1	0	1	0	0
otu2115	0	0	0	0	2	0	0	0	0	0
otu2117	0	0	0	0	1	1	0	0	0	0
otu2122	0	0	0	0	1	1	0	0	0	0
otu2128	0	0	0	0	1	0	0	0	1	0
otu2129	0	0	0	0	1	0	1	0	0	0
otu213	0	0	0	0	0	0	0	2	0	0
otu2141	0	0	0	0	0	0	0	2	0	0
otu2142	0	0	0	2	0	0	0	0	0	0
otu2147	0	1	0	0	1	0	0	0	0	0
otu2161	0	0	0	0	0	0	0	0	2	0
otu2165	1	0	0	0	0	0	1	0	0	0
otu2173	0	0	0	0	1	0	1	0	0	0
otu2176	0	0	0	0	0	2	0	0	0	0
otu2183	0	0	0	0	0	0	1	1	0	0
otu219	0	0	0	0	1	0	0	1	0	0
otu2193	0	0	2	0	0	0	0	0	0	0
otu2199	0	0	1	0	0	0	0	0	1	0
otu2204	0	0	0	0	0	0	0	0	2	0
otu2211	0	2	0	0	0	0	0	0	0	0
otu2213	0	0	0	0	1	0	0	1	0	0
otu2215	0	0	1	1	0	0	0	0	0	0
otu2228	0	2	0	0	0	0	0	0	0	0
otu2231	0	0	0	0	0	0	2	0	0	0
otu2235	0	0	0	0	0	1	0	1	0	0
otu2239	0	0	0	0	0	2	0	0	0	0
otu2245	0	0	0	0	0	0	2	0	0	0
otu2246	0	0	0	0	0	0	0	0	2	0
otu2249	2	0	0	0	0	0	0	0	0	0
otu2256	0	0	0	0	1	1	0	0	0	0
otu2263	0	0	0	0	0	2	0	0	0	0
otu2275	1	0	0	0	0	0	1	0	0	0
otu2277	1	0	0	0	0	1	0	0	0	0
otu2281	2	0	0	0	0	0	0	0	0	0
otu2283	1	0	1	0	0	0	0	0	0	0
otu2293	1	0	0	1	0	0	0	0	0	0
otu2294	0	1	0	0	1	0	0	0	0	0
otu2298	0	0	0	0	0	0	0	1	1	0
otu2308	0	0	1	0	0	0	0	0	1	0
otu2317	0	0	0	0	0	0	0	0	2	0
otu2319	0	0	0	0	0	0	2	0	0	0
otu2323	1	0	0	0	1	0	0	0	0	0
otu2334	0	0	0	0	0	1	0	1	0	0
otu2338	2	0	0	0	0	0	0	0	0	0
otu2342	0	0	0	1	0	0	0	0	0	1
otu2347	0	1	0	0	1	0	0	0	0	0
otu235	0	0	0	0	0	1	0	1	0	0
otu2357	0	1	0	0	0	1	0	0	0	0
otu2365	0	0	0	0	2	0	0	0	0	0
otu2366	0	0	0	0	0	0	0	2	0	0
otu2370	2	0	0	0	0	0	0	0	0	0
otu2374	0	0	0	0	0	0	1	0	1	0
otu2382	1	0	1	0	0	0	0	0	0	0
otu2385	2	0	0	0	0	0	0	0	0	0
otu2387	2	0	0	0	0	0	0	0	0	0
otu2390	1	0	0	0	0	1	0	0	0	0
otu2391	0	0	0	0	1	0	0	0	0	1
otu24	0	0	0	0	0	0	0	0	2	0
otu2400	0	0	2	0	0	0	0	0	0	0
otu2403	0	0	0	0	0	0	2	0	0	0
otu2413	1	0	0	0	1	0	0	0	0	0
otu2421	0	0	0	0	0	0	0	0	2	0
otu2430	0	0	0	0	2	0	0	0	0	0
otu2439	0	0	0	2	0	0	0	0	0	0
otu2443	0	0	0	2	0	0	0	0	0	0
otu2447	0	0	0	0	2	0	0	0	0	0
otu2459	2	0	0	0	0	0	0	0	0	0
otu2461	2	0	0	0	0	0	0	0	0	0
otu2464	0	0	0	0	0	0	0	2	0	0
otu2472	0	2	0	0	0	0	0	0	0	0
otu2474	0	0	0	0	0	0	0	0	2	0
otu2484	0	0	1	0	0	1	0	0	0	0
otu2488	0	0	0	1	0	0	1	0	0	0
otu2489	0	1	0	0	0	0	0	1	0	0
otu249	0	0	0	0	0	0	1	1	0	0
otu2490	0	0	1	0	1	0	0	0	0	0
otu2495	0	0	0	0	0	1	0	0	0	1
otu2502	1	0	0	0	1	0	0	0	0	0
otu2506	0	0	0	0	0	0	0	2	0	0
otu2513	2	0	0	0	0	0	0	0	0	0
otu2516	0	0	0	0	0	1	0	0	1	0
otu2517	0	0	0	0	2	0	0	0	0	0
otu2525	1	0	0	0	0	1	0	0	0	0
otu2527	0	0	1	0	0	0	1	0	0	0
otu2534	1	0	0	1	0	0	0	0	0	0
otu2535	0	0	0	0	1	0	1	0	0	0
otu2537	0	1	0	0	0	0	0	0	1	0
otu254	1	1	0	0	0	0	0	0	0	0
otu2543	0	0	0	0	0	1	0	1	0	0
otu2545	0	0	2	0	0	0	0	0	0	0
otu2546	0	0	0	0	0	1	0	0	1	0
otu2548	2	0	0	0	0	0	0	0	0	0
otu2566	0	1	0	0	0	0	0	0	1	0
otu2569	0	0	0	0	1	0	1	0	0	0
otu2571	0	0	0	0	0	1	0	0	1	0
otu2573	0	1	1	0	0	0	0	0	0	0
otu2576	0	0	1	0	0	0	0	0	1	0
otu2586	0	0	0	1	0	1	0	0	0	0
otu2591	0	0	1	1	0	0	0	0	0	0
otu2594	2	0	0	0	0	0	0	0	0	0
otu2597	0	0	0	0	0	0	0	0	2	0
otu2618	0	2	0	0	0	0	0	0	0	0
otu2619	0	2	0	0	0	0	0	0	0	0
otu2632	0	0	0	0	0	0	2	0	0	0
otu2633	0	0	1	0	0	0	0	0	0	1
otu2635	1	0	1	0	0	0	0	0	0	0
otu2637	2	0	0	0	0	0	0	0	0	0
otu2641	0	0	0	1	0	0	1	0	0	0
otu2657	0	0	0	0	0	0	0	2	0	0
otu266	0	0	1	0	0	0	0	1	0	0
otu2662	0	0	0	0	0	1	0	0	1	0
otu2664	0	0	0	0	0	1	0	0	1	0
otu2691	0	0	0	0	0	0	2	0	0	0
otu2695	0	1	0	0	1	0	0	0	0	0
otu2709	0	0	0	0	1	1	0	0	0	0
otu2716	0	0	2	0	0	0	0	0	0	0
otu2719	0	2	0	0	0	0	0	0	0	0
otu2721	2	0	0	0	0	0	0	0	0	0
otu2725	0	2	0	0	0	0	0	0	0	0
otu2727	0	0	0	2	0	0	0	0	0	0
otu2730	1	0	1	0	0	0	0	0	0	0
otu2738	0	0	0	0	0	2	0	0	0	0
otu2744	0	1	0	0	0	0	1	0	0	0
otu2751	0	0	0	0	2	0	0	0	0	0
otu2754	0	0	0	0	1	1	0	0	0	0
otu2760	0	0	0	0	0	0	0	1	1	0
otu2765	0	1	0	0	1	0	0	0	0	0
otu2775	1	0	0	1	0	0	0	0	0	0
otu2777	0	0	0	0	1	0	0	0	1	0
otu2795	0	2	0	0	0	0	0	0	0	0
otu28	2	0	0	0	0	0	0	0	0	0
otu2803	0	0	1	0	0	0	0	0	0	1
otu2824	2	0	0	0	0	0	0	0	0	0
otu283	0	0	2	0	0	0	0	0	0	0
otu2831	0	0	0	0	0	0	0	2	0	0
otu2843	0	0	0	0	0	0	1	0	1	0
otu2844	0	0	0	0	1	0	0	1	0	0
otu2853	0	2	0	0	0	0	0	0	0	0
otu287	0	2	0	0	0	0	0	0	0	0
otu2883	0	0	0	0	0	0	1	0	1	0
otu2889	0	2	0	0	0	0	0	0	0	0
otu2891	0	0	0	1	0	0	1	0	0	0
otu2904	2	0	0	0	0	0	0	0	0	0
otu2907	1	0	1	0	0	0	0	0	0	0
otu2910	0	0	2	0	0	0	0	0	0	0
otu2911	0	0	0	0	2	0	0	0	0	0
otu2915	0	2	0	0	0	0	0	0	0	0
otu2920	1	0	0	0	1	0	0	0	0	0
otu2928	0	0	0	2	0	0	0	0	0	0
otu2929	2	0	0	0	0	0	0	0	0	0
otu2935	0	0	0	2	0	0	0	0	0	0
otu2945	0	0	0	0	0	1	0	0	1	0
otu2948	2	0	0	0	0	0	0	0	0	0
otu2955	0	1	1	0	0	0	0	0	0	0
otu2963	0	0	2	0	0	0	0	0	0	0
otu2966	0	1	0	1	0	0	0	0	0	0
otu2973	0	0	0	0	0	1	0	0	1	0
otu2979	0	0	0	2	0	0	0	0	0	0
otu298	0	0	0	0	0	1	0	0	1	0
otu2981	0	0	0	0	0	0	0	0	2	0
otu2990	0	0	0	0	0	0	0	0	2	0
otu301	0	0	0	0	0	2	0	0	0	0
otu3015	0	0	0	2	0	0	0	0	0	0
otu3021	0	2	0	0	0	0	0	0	0	0
otu3023	0	0	0	1	1	0	0	0	0	0
otu303	0	0	0	2	0	0	0	0	0	0
otu3039	0	0	0	2	0	0	0	0	0	0
otu3042	0	0	0	0	0	0	0	0	2	0
otu3045	0	2	0	0	0	0	0	0	0	0
otu3046	0	0	0	2	0	0	0	0	0	0
otu3049	0	0	0	0	0	2	0	0	0	0
otu305	1	0	1	0	0	0	0	0	0	0
otu3072	0	0	0	0	0	0	2	0	0	0
otu3074	0	0	1	0	0	1	0	0	0	0
otu3075	0	0	0	0	1	0	0	0	1	0
otu3076	1	0	0	0	0	0	1	0	0	0
otu3081	0	0	0	2	0	0	0	0	0	0
otu3082	0	0	0	0	0	0	1	0	1	0
otu3088	0	0	2	0	0	0	0	0	0	0
otu3098	0	0	0	0	0	2	0	0	0	0
otu3099	0	0	0	0	0	0	0	0	2	0
otu3101	0	0	0	0	0	1	0	0	1	0
otu3103	0	0	1	0	0	0	1	0	0	0
otu3104	0	0	0	1	0	1	0	0	0	0
otu3106	1	0	0	0	0	0	1	0	0	0
otu3107	0	0	0	0	0	0	0	0	2	0
otu3110	0	0	0	0	0	0	0	0	2	0
otu3146	2	0	0	0	0	0	0	0	0	0
otu3152	0	0	0	0	1	0	0	0	0	1
otu3164	1	0	0	0	1	0	0	0	0	0
otu3187	0	0	1	1	0	0	0	0	0	0
otu3189	0	1	0	0	0	1	0	0	0	0
otu3191	0	1	0	0	0	0	0	0	0	1
otu3192	0	0	0	0	0	0	2	0	0	0
otu3193	0	1	0	0	0	0	1	0	0	0
otu3205	0	1	0	0	0	0	1	0	0	0
otu3207	0	0	0	0	0	0	0	0	2	0
otu321	0	0	0	0	0	0	2	0	0	0
otu3213	0	0	0	0	0	0	0	0	2	0
otu3219	0	0	0	1	1	0	0	0	0	0
otu3228	0	2	0	0	0	0	0	0	0	0
otu3229	0	0	0	0	1	0	1	0	0	0
otu3230	0	0	0	0	2	0	0	0	0	0
otu3234	0	0	0	0	0	0	0	2	0	0
otu3238	0	0	0	0	0	0	0	1	0	1
otu324	1	0	0	0	1	0	0	0	0	0
otu3240	0	0	0	0	0	0	2	0	0	0
otu3241	0	0	2	0	0	0	0	0	0	0
otu3245	2	0	0	0	0	0	0	0	0	0
otu3247	0	0	0	0	0	0	2	0	0	0
otu3253	0	0	0	0	2	0	0	0	0	0
otu326	0	0	0	0	0	2	0	0	0	0
otu3261	0	0	1	0	0	0	0	0	1	0
otu3264	0	0	0	0	1	1	0	0	0	0
otu3266	1	0	0	0	1	0	0	0	0	0
otu3272	0	0	0	2	0	0	0	0	0	0
otu3283	0	0	0	0	2	0	0	0	0	0
otu3285	0	0	2	0	0	0	0	0	0	0
otu3286	0	0	0	0	2	0	0	0	0	0
otu3299	0	0	2	0	0	0	0	0	0	0
otu3302	0	1	1	0	0	0	0	0	0	0
otu3317	0	0	1	0	0	0	0	0	1	0
otu3318	0	0	0	0	0	0	1	0	0	1
otu3327	1	0	0	0	0	1	0	0	0	0
otu333	0	0	0	0	0	0	0	2	0	0
otu334	0	0	1	0	0	0	0	1	0	0
otu3341	0	0	0	0	2	0	0	0	0	0
otu3350	1	0	0	1	0	0	0	0	0	0
otu3354	0	0	0	0	1	0	0	1	0	0
otu3356	0	0	0	0	2	0	0	0	0	0
otu3357	0	0	0	0	2	0	0	0	0	0
otu3358	0	0	0	2	0	0	0	0	0	0
otu336	0	2	0	0	0	0	0	0	0	0
otu3362	0	1	0	0	0	1	0	0	0	0
otu3368	0	0	2	0	0	0	0	0	0	0
otu3369	0	0	0	0	0	0	0	1	1	0
otu3383	0	1	0	0	1	0	0	0	0	0
otu3385	0	2	0	0	0	0	0	0	0	0
otu339	0	0	0	0	2	0	0	0	0	0
otu3396	2	0	0	0	0	0	0	0	0	0
otu3398	0	2	0	0	0	0	0	0	0	0
otu3408	0	0	0	0	2	0	0	0	0	0
otu3424	0	0	0	0	0	0	0	0	1	1
otu3427	0	0	0	0	0	0	0	0	0	2
otu3432	2	0	0	0	0	0	0	0	0	0
otu3434	0	1	0	0	1	0	0	0	0	0
otu3443	0	0	0	0	0	1	0	0	1	0
otu3451	0	0	0	1	0	0	0	0	0	1
otu3453	0	0	2	0	0	0	0	0	0	0
otu3456	0	0	1	0	0	0	0	0	1	0
otu3461	0	0	0	0	1	0	0	0	1	0
otu3463	0	0	0	0	0	0	2	0	0	0
otu3481	0	1	0	0	0	1	0	0	0	0
otu3504	0	0	0	0	1	0	0	0	1	0
otu3505	0	0	0	0	0	0	0	0	2	0
otu3509	0	1	0	0	0	1	0	0	0	0
otu3510	0	0	0	0	0	2	0	0	0	0
otu3512	0	0	0	0	2	0	0	0	0	0
otu3526	0	0	0	2	0	0	0	0	0	0
otu3539	0	0	0	1	0	0	0	0	1	0
otu3549	0	0	2	0	0	0	0	0	0	0
otu3558	2	0	0	0	0	0	0	0	0	0
otu3565	1	0	1	0	0	0	0	0	0	0
otu3567	1	0	0	0	0	1	0	0	0	0
otu3576	0	0	0	0	0	0	0	1	1	0
otu3588	0	1	0	0	0	0	0	1	0	0
otu36	0	0	0	0	2	0	0	0	0	0
otu360	0	1	0	0	0	0	0	0	1	0
otu3601	0	0	0	0	0	0	0	1	1	0
otu3604	1	0	0	0	0	0	0	0	1	0
otu3618	0	0	0	0	1	0	1	0	0	0
otu3619	0	0	1	0	0	0	0	0	1	0
otu3625	0	0	0	0	0	0	2	0	0	0
otu3628	0	0	2	0	0	0	0	0	0	0
otu3630	0	0	0	0	0	2	0	0	0	0
otu3632	0	0	2	0	0	0	0	0	0	0
otu3634	0	0	0	0	0	0	0	0	0	2
otu3638	0	0	1	0	1	0	0	0	0	0
otu3643	0	0	0	0	2	0	0	0	0	0
otu3653	0	0	0	1	0	0	0	0	1	0
otu3654	0	0	1	0	0	0	0	0	1	0
otu3658	0	0	0	0	0	0	0	0	1	1
otu3666	0	1	1	0	0	0	0	0	0	0
otu3667	0	0	0	0	1	0	1	0	0	0
otu3670	0	0	0	0	0	0	1	0	0	1
otu3673	0	2	0	0	0	0	0	0	0	0
otu3685	0	0	1	0	0	0	1	0	0	0
otu3686	1	0	0	0	0	0	0	1	0	0
otu3692	0	1	1	0	0	0	0	0	0	0
otu3696	1	0	0	0	0	0	1	0	0	0
otu3700	0	0	1	0	1	0	0	0	0	0
otu3709	0	0	0	0	0	0	2	0	0	0
otu3710	0	0	0	0	1	1	0	0	0	0
otu3711	0	0	0	0	0	0	0	0	2	0
otu3721	0	0	0	0	0	0	2	0	0	0
otu3723	2	0	0	0	0	0	0	0	0	0
otu3729	2	0	0	0	0	0	0	0	0	0
otu3736	0	0	1	0	0	1	0	0	0	0
otu3746	0	0	0	0	0	2	0	0	0	0
otu3752	0	0	1	0	1	0	0	0	0	0
otu3767	0	0	0	2	0	0	0	0	0	0
otu3768	0	0	0	0	0	2	0	0	0	0
otu3771	0	0	0	0	0	0	0	2	0	0
otu3774	0	0	0	0	0	1	0	0	0	1
otu378	0	2	0	0	0	0	0	0	0	0
otu3786	0	0	0	0	0	0	1	1	0	0
otu3802	0	0	0	2	0	0	0	0	0	0
otu3804	0	0	0	0	0	0	0	2	0	0
otu3805	0	1	1	0	0	0	0	0	0	0
otu3808	2	0	0	0	0	0	0	0	0	0
otu3811	0	0	0	0	2	0	0	0	0	0
otu3816	0	0	0	0	0	0	0	2	0	0
otu3830	2	0	0	0	0	0	0	0	0	0
otu3835	0	0	1	1	0	0	0	0	0	0
otu3836	0	0	0	0	1	1	0	0	0	0
otu3844	0	0	2	0	0	0	0	0	0	0
otu3852	0	0	0	0	2	0	0	0	0	0
otu3858	0	0	1	0	1	0	0	0	0	0
otu3865	0	0	0	0	2	0	0	0	0	0
otu3866	0	0	0	0	0	2	0	0	0	0
otu387	2	0	0	0	0	0	0	0	0	0
otu3888	0	1	0	0	1	0	0	0	0	0
otu391	0	0	0	0	0	1	0	0	1	0
otu3924	2	0	0	0	0	0	0	0	0	0
otu3945	0	0	0	0	0	0	0	0	2	0
otu395	2	0	0	0	0	0	0	0	0	0
otu3955	2	0	0	0	0	0	0	0	0	0
otu3956	0	0	0	0	2	0	0	0	0	0
otu3965	0	0	1	0	0	0	0	0	1	0
otu3979	0	0	0	1	0	0	0	0	1	0
otu3980	0	0	0	0	0	0	0	1	1	0
otu3982	0	0	0	2	0	0	0	0	0	0
otu3990	0	0	0	0	0	0	1	0	1	0
otu3999	0	0	0	1	0	0	1	0	0	0
otu4	0	0	0	0	0	2	0	0	0	0
otu4007	0	1	0	0	0	0	1	0	0	0
otu4014	0	0	2	0	0	0	0	0	0	0
otu4016	0	0	1	0	0	0	0	0	1	0
otu4020	0	1	0	0	0	0	0	0	0	1
otu4025	0	0	0	2	0	0	0	0	0	0
otu4028	0	1	0	0	0	0	0	0	0	1
otu403	0	2	0	0	0	0	0	0	0	0
otu4031	0	1	0	0	0	0	0	0	1	0
otu4032	0	0	1	1	0	0	0	0	0	0
otu4037	0	0	0	0	1	0	0	1	0	0
otu4040	0	0	0	0	0	2	0	0	0	0
otu4047	0	0	0	0	0	0	0	2	0	0
otu4052	0	1	0	0	0	1	0	0	0	0
otu4060	0	0	0	0	0	0	2	0	0	0
otu4062	0	0	0	0	2	0	0	0	0	0
otu4067	2	0	0	0	0	0	0	0	0	0
otu4069	0	0	0	0	0	0	0	0	2	0
otu4081	0	0	1	0	0	0	0	0	1	0
otu4085	0	0	1	0	1	0	0	0	0	0
otu4086	0	0	1	1	0	0	0	0	0	0
otu4087	1	0	0	1	0	0	0	0	0	0
otu4095	2	0	0	0	0	0	0	0	0	0
otu4109	2	0	0	0	0	0	0	0	0	0
otu4116	0	0	0	0	0	0	1	0	0	1
otu4122	0	0	0	0	0	2	0	0	0	0
otu4130	0	0	0	0	0	2	0	0	0	0
otu4139	1	0	0	1	0	0	0	0	0	0
otu4143	0	0	0	1	0	1	0	0	0	0
otu415	0	0	0	0	1	0	1	0	0	0
otu4151	2	0	0	0	0	0	0	0	0	0
otu4152	0	0	0	0	0	0	2	0	0	0
otu4156	0	1	0	0	0	0	1	0	0	0
otu4162	0	0	0	0	0	2	0	0	0	0
otu4165	0	0	0	1	0	0	0	0	1	0
otu4167	2	0	0	0	0	0	0	0	0	0
otu4186	0	0	0	0	0	0	2	0	0	0
otu4195	0	0	0	0	2	0	0	0	0	0
otu4197	0	0	0	0	0	2	0	0	0	0
otu4199	0	0	0	0	2	0	0	0	0	0
otu4202	0	0	0	0	1	0	1	0	0	0
otu4208	0	0	0	0	0	0	1	0	0	1
otu4216	0	0	0	0	0	0	0	0	2	0
otu4222	0	0	0	0	0	0	0	2	0	0
otu4229	0	0	0	0	0	1	0	0	1	0
otu4236	0	2	0	0	0	0	0	0	0	0
otu424	0	0	0	0	0	0	2	0	0	0
otu4244	2	0	0	0	0	0	0	0	0	0
otu4246	0	0	0	0	1	0	0	0	1	0
otu4248	0	0	2	0	0	0	0	0	0	0
otu4249	0	0	0	0	2	0	0	0	0	0
otu4251	0	0	0	0	0	1	0	0	1	0
otu4273	0	0	0	0	0	1	0	1	0	0
otu4275	0	0	0	0	0	0	0	0	0	2
otu4278	0	0	0	2	0	0	0	0	0	0
otu4279	0	0	0	2	0	0	0	0	0	0
otu428	0	0	0	2	0	0	0	0	0	0
otu4289	0	0	2	0	0	0	0	0	0	0
otu4290	2	0	0	0	0	0	0	0	0	0
otu4299	0	2	0	0	0	0	0	0	0	0
otu4306	0	0	0	0	2	0	0	0	0	0
otu4314	0	0	2	0	0	0	0	0	0	0
otu4316	0	0	1	1	0	0	0	0	0	0
otu4320	0	1	0	1	0	0	0	0	0	0
otu4329	0	0	2	0	0	0	0	0	0	0
otu4331	1	0	0	0	0	1	0	0	0	0
otu4333	0	1	0	0	0	0	1	0	0	0
otu4353	0	0	0	2	0	0	0	0	0	0
otu436	0	0	0	0	0	0	0	2	0	0
otu4363	2	0	0	0	0	0	0	0	0	0
otu437	0	1	0	0	0	0	1	0	0	0
otu4371	0	0	2	0	0	0	0	0	0	0
otu4374	0	0	0	0	1	1	0	0	0	0
otu4377	0	1	0	0	0	0	0	0	1	0
otu4383	0	0	0	0	2	0	0	0	0	0
otu4389	0	0	1	0	0	0	1	0	0	0
otu4394	0	0	0	0	2	0	0	0	0	0
otu4408	0	1	0	0	0	0	0	0	1	0
otu4412	0	0	0	2	0	0	0	0	0	0
otu4420	0	0	0	1	0	1	0	0	0	0
otu4429	0	0	0	0	1	0	1	0	0	0
otu4431	1	1	0	0	0	0	0	0	0	0
otu4437	0	0	0	0	2	0	0	0	0	0
otu4451	0	0	0	2	0	0	0	0	0	0
otu4452	0	0	0	0	0	0	0	2	0	0
otu4466	0	0	0	0	0	2	0	0	0	0
otu4471	0	0	0	0	0	0	2	0	0	0
otu4473	0	0	1	0	0	0	0	0	1	0
otu4475	0	0	0	0	0	0	0	0	2	0
otu4477	0	0	2	0	0	0	0	0	0	0
otu4479	0	0	0	0	1	0	0	0	1	0
otu4494	0	0	0	0	0	1	0	0	1	0
otu4501	0	0	0	0	0	0	0	2	0	0
otu4506	2	0	0	0	0	0	0	0	0	0
otu4509	0	0	0	0	2	0	0	0	0	0
otu451	2	0	0	0	0	0	0	0	0	0
otu4511	1	0	1	0	0	0	0	0	0	0
otu4515	1	0	0	0	0	0	0	0	1	0
otu4518	0	0	1	0	0	0	0	0	0	1
otu4521	0	0	0	0	0	0	0	0	2	0
otu4529	0	0	0	0	2	0	0	0	0	0
otu4530	0	1	0	0	0	0	0	0	0	1
otu4535	0	0	0	0	2	0	0	0	0	0
otu4540	0	2	0	0	0	0	0	0	0	0
otu4551	0	0	0	0	0	0	2	0	0	0
otu4556	0	0	0	1	0	0	1	0	0	0
otu4558	0	1	0	0	0	0	1	0	0	0
otu456	2	0	0	0	0	0	0	0	0	0
otu4568	0	0	2	0	0	0	0	0	0	0
otu4570	0	0	0	0	0	1	0	0	1	0
otu4581	0	0	0	0	0	1	1	0	0	0
